,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
361,32,62.5,21.0,7.4,32.7
368,22,48.0,48.0,6.6,28.1
370,24,54.5,43.0,8.4,28.4
371,27,47.4,50.0,8.4,24.8
372,21,56.7,23.0,4.6,32.8
374,24,50.0,20.0,5.3,20.2
378,26,62.5,27.0,5.4,25.3
380,25,45.0,18.0,4.4,23.7
385,24,55.6,13.0,4.2,19.1
386,28,61.5,21.0,3.7,29.9
391,24,34.8,40.0,5.8,21.3
393,24,55.0,35.0,6.7,24.3
395,29,26.1,22.0,3.0,18.9
401,25,60.0,15.0,5.4,18.4
403,28,50.0,36.0,7.9,18.0
405,24,62.5,18.0,6.1,15.9
408,24,52.4,16.0,5.0,21.5
413,24,47.1,35.0,6.6,19.2
415,25,52.9,26.0,5.8,20.2
418,24,45.5,24.0,4.7,20.3
422,34,50.0,16.0,5.1,14.1
424,23,54.5,63.0,9.5,16.1
426,24,75.0,18.0,9.8,12.9
427,26,40.0,13.0,3.0,11.0
428,30,35.7,11.0,2.3,14.2
433,27,50.0,10.0,2.1,14.5
440,23,50.0,14.0,5.3,10.1
443,24,37.5,34.0,4.4,13.8
444,22,50.0,28.0,7.4,12.4
446,33,50.0,35.0,17.5,8.4
449,28,66.7,17.0,4.5,16.8
450,28,66.7,38.0,8.5,9.7
452,25,100.0,37.0,16.0,10.4
453,29,75.0,25.0,13.8,8.5
455,25,58.3,16.0,4.9,12.9
456,22,64.3,22.0,5.9,15.4
457,26,75.0,24.0,14.0,8.6
458,22,50.0,19.0,5.6,9.6
461,22,50.0,29.0,3.6,11.4
462,27,50.0,10.0,3.3,8.6
467,27,45.5,19.0,4.7,10.2
469,25,40.0,23.0,7.2,5.6
472,26,36.4,15.0,3.0,7.6
474,23,100.0,10.0,5.0,6.9
479,25,50.0,14.0,6.0,6.6
480,25,66.7,22.0,10.3,6.0
481,25,66.7,10.0,3.0,9.8
482,29,50.0,15.0,4.8,7.8
483,27,66.7,26.0,13.7,6.1
485,29,20.0,38.0,7.6,4.8
486,25,61.5,12.0,4.5,11.8
488,25,44.4,8.0,2.8,6.5
489,29,100.0,24.0,14.5,4.9
493,24,100.0,19.0,10.0,6.0
495,28,57.1,14.0,4.7,7.3
497,26,40.0,25.0,6.8,5.4
498,29,33.3,15.0,4.7,4.8
504,24,66.7,16.0,8.7,4.6
506,23,83.3,11.0,5.5,8.3
507,21,100.0,34.0,34.0,4.4
514,25,33.3,17.0,5.7,2.7
517,25,40.0,10.0,3.2,3.6
518,26,40.0,16.0,4.8,4.4
519,27,42.9,7.0,2.4,4.7
522,22,40.0,13.0,4.6,4.3
527,25,33.3,12.0,2.8,3.7
