,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
579,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,-0.1
581,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,1.4
586,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,1.0
592,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,-1.6
596,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,333.1
597,5.833333333333333,214.0,4.56,39.5,15.0,131.0,7.0,4.24,2017.0,377.8
598,5.833333333333333,210.0,4.49,30.5,22.0,116.0,7.27,4.53,2017.0,337.8
607,5.833333333333333,226.0,4.39,36.0,17.0,123.0,7.01,4.24,2020.0,252.8
608,5.75,208.0,4.56,37.5,16.0,127.0,6.82,4.2,2017.0,258.9
610,5.833333333333333,222.0,4.63,28.5,15.0,121.0,7.0,4.24,2019.0,264.8
613,5.75,219.0,4.64,40.0,24.0,125.0,7.03,4.19,2020.0,250.4
614,5.833333333333333,220.0,4.54,34.5,19.0,120.0,7.0,4.24,2019.0,231.3
617,5.916666666666667,227.0,4.52,38.5,29.0,128.0,7.09,4.25,2018.0,207.7
626,5.833333333333333,216.0,4.62,36.5,18.0,119.0,7.0,4.24,2017.0,218.5
628,6.0,225.0,4.47,32.5,19.0,118.0,7.0,4.24,2016.0,223.7
630,6.083333333333333,210.0,4.45,34.5,10.0,123.0,7.04,4.21,2016.0,192.2
631,6.083333333333333,215.0,4.52,35.0,19.0,126.0,7.04,4.07,2015.0,198.4
632,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,202.2
636,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,186.3
642,6.0,218.0,4.58,37.0,23.0,130.0,7.0,4.24,2017.0,187.8
643,5.75,209.0,4.54,34.5,23.0,120.0,7.0,4.24,2020.0,168.5
649,5.75,217.0,4.61,34.0,17.0,116.0,7.0,4.18,2015.0,206.5
650,6.083333333333333,224.0,4.5,41.5,25.0,127.0,6.82,4.27,2015.0,179.5
654,5.666666666666667,212.0,4.48,35.5,19.0,121.0,7.0,4.24,2020.0,189.8
655,5.916666666666667,211.0,4.49,36.0,20.0,124.0,6.89,4.19,2019.0,170.4
660,5.583333333333333,207.0,4.6,39.5,15.0,123.0,7.0,4.24,2020.0,176.0
663,6.083333333333333,222.0,4.52,34.5,17.0,120.0,7.0,4.24,2015.0,163.2
672,5.666666666666667,198.0,4.38,35.5,19.0,119.0,7.18,4.35,2018.0,193.2
694,6.083333333333333,233.0,4.65,29.0,20.0,113.0,7.0,4.24,2017.0,164.6
695,5.916666666666667,210.0,4.54,34.5,15.0,120.0,7.0,4.24,2018.0,142.3
699,5.75,205.0,4.58,35.5,24.0,118.0,7.19,4.27,2019.0,164.2
700,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,128.2
702,6.0,215.0,4.6,29.5,21.0,120.0,7.17,4.28,2017.0,136.6
705,5.75,205.0,4.55,34.0,19.0,122.0,6.79,4.07,2018.0,168.0
708,5.666666666666667,208.0,4.49,33.5,22.0,121.0,7.0,4.24,2019.0,130.3
710,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,136.2
711,6.083333333333333,217.0,4.4,38.5,19.0,127.0,7.09,4.4,2007.0,124.5
712,5.666666666666667,202.0,4.53,33.5,19.0,122.0,6.91,4.12,2013.0,158.1
713,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,165.3
714,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,191.4
720,5.583333333333333,203.0,4.66,35.0,15.0,117.0,7.32,4.4,2019.0,143.6
732,6.0,240.0,4.51,28.5,19.0,120.0,7.0,4.24,2017.0,132.0
733,6.0,212.0,4.59,30.0,19.0,123.0,7.25,4.53,2017.0,127.1
735,5.75,209.0,4.41,40.5,32.0,132.0,6.83,4.12,2014.0,126.2
737,6.0,210.0,4.52,35.0,13.0,121.0,7.0,4.24,2019.0,120.8
738,5.833333333333333,217.0,4.47,35.5,20.0,122.0,7.0,4.42,2020.0,101.8
742,5.75,223.0,4.65,33.0,19.0,120.0,7.0,4.37,2020.0,101.6
745,5.916666666666667,224.0,4.62,34.5,19.0,117.0,6.86,4.15,2015.0,109.1
747,5.833333333333333,216.0,4.57,37.0,16.0,121.0,7.0,4.24,2019.0,91.3
749,5.75,217.0,4.58,34.5,19.0,120.0,7.0,4.24,2005.0,100.2
754,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,99.7
756,5.833333333333333,214.0,4.73,39.0,21.0,125.0,6.85,4.09,2013.0,107.6
759,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,99.6
764,5.916666666666667,221.0,4.67,35.0,22.0,127.0,7.13,4.29,2019.0,86.9
765,5.916666666666667,202.0,4.48,37.5,10.0,121.0,6.57,4.22,2017.0,90.4
769,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,95.6
771,6.083333333333333,219.0,4.54,34.0,15.0,125.0,7.03,4.32,2017.0,95.4
774,5.916666666666667,219.0,4.56,34.5,22.0,120.0,7.0,4.24,2016.0,85.7
776,6.0,230.0,4.62,34.5,19.0,114.0,7.0,4.24,2014.0,84.9
784,5.916666666666667,214.0,4.54,34.5,22.0,120.0,7.0,4.21,2018.0,75.3
785,5.75,204.0,4.57,32.0,23.0,114.0,7.05,4.2,2014.0,116.6
787,6.083333333333333,228.0,4.46,33.5,15.0,122.0,6.91,4.35,2018.0,93.9
789,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,74.9
794,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,81.6
804,6.083333333333333,230.0,4.6,31.5,24.0,118.0,6.75,4.24,2013.0,74.6
