player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Olisaemeka Udoh,28394,T,MIN,2,0,18,49.8,1,1,36,100.0,100.0,94.4,0,3,1,37,37,33.1,1,1,15,100.0,100.0,86.7,3,1,16,16
Luke Schoonmaker,84005,TE,DAL,18,0,9,58.1,0,3,34,22.8,22.8,92.6,0,4,1,37,162,74.4,0,0,2,7.1,6.1,100.0,0,0,2,33
Tyler Vrabel,77343,T,ATL,1,0,2,71.6,0,0,33,100.0,100.0,100.0,0,0,0,37,37,50.9,0,0,6,100.0,100.0,100.0,0,0,8,8
Lucas Niang,47004,T,KC,2,1,16,56.5,1,3,35,100.0,100.0,94.3,1,4,0,36,36,49.2,1,2,13,100.0,100.0,88.5,3,0,13,13
Noah Fant,42388,TE,SEA,17,0,29,72.1,0,3,33,9.4,9.5,92.4,1,4,1,36,378,64.4,0,1,7,4.1,4.3,78.6,2,1,8,185
Matt Breida,12271,HB,NYG,17,0,21,63.3,0,4,32,17.2,17.7,93.7,0,4,0,36,203,45.0,0,4,16,16.2,17.3,87.5,4,0,19,110
Jack Stoll,42058,TE,PHI,18,0,24,51.2,0,2,34,18.3,18.0,97.1,1,2,0,35,194,21.7,0,1,2,4.2,4.0,75.0,1,0,2,50
Geoff Swaim,9679,TE,ARZ,14,0,1,66.6,1,1,30,23.1,24.1,96.7,0,2,0,35,145,75.3,0,0,4,16.0,14.3,100.0,0,0,4,28
Mike Caliendo,41446,G,KC,1,0,16,28.1,0,3,35,100.0,100.0,92.9,0,4,1,35,35,26.3,0,2,13,100.0,100.0,84.6,3,1,13,13
David Edwards,35941,G,BUF,15,0,4,68.0,0,1,32,91.4,92.1,98.4,0,1,0,35,38,72.3,0,0,1,100.0,100.0,100.0,0,0,1,1
Raheem Mostert,9783,HB,MIA,16,0,17,66.0,1,2,30,9.9,10.6,95.0,0,3,0,34,322,58.0,0,1,7,10.0,11.1,92.9,1,0,8,72
Luke Wypler,129764,G,CLV,2,0,8,54.5,1,1,34,100.0,100.0,97.1,0,2,0,34,34,60.8,0,0,15,100.0,100.0,100.0,0,0,15,15
Brenton Strange,101694,TE,JAX,14,0,15,55.8,0,3,31,26.7,27.4,95.2,0,3,0,34,124,71.5,0,0,2,6.9,6.5,100.0,0,0,2,31
Julian Hill,88685,TE,MIA,16,0,17,41.2,0,1,34,23.0,21.5,95.6,1,2,1,34,158,58.2,0,0,4,13.8,13.3,100.0,0,0,4,30
Jake Ferguson,61081,TE,DAL,18,0,9,73.1,0,0,31,5.1,5.3,100.0,0,0,0,34,647,74.1,0,0,1,0.4,0.3,100.0,0,0,1,289
Leroy Watson,98723,T,CLV,3,0,8,46.2,0,0,33,100.0,100.0,100.0,0,0,0,33,33,59.3,0,0,16,100.0,100.0,100.0,0,0,16,16
Dalvin Cook,11796,HB,BLT,15,0,3,61.0,1,0,31,25.8,26.0,91.9,0,3,2,33,127,39.5,1,0,11,22.4,24.1,86.4,2,1,13,54
Clyde Edwards-Helaire,57279,HB,KC,19,0,16,59.1,0,2,30,16.2,16.9,96.7,0,2,0,33,195,73.4,0,1,15,16.1,16.5,96.7,1,0,16,97
Keith Smith,9302,FB,ATL,13,0,2,57.8,0,1,31,57.4,55.0,91.9,0,3,2,33,60,52.1,0,0,3,25.0,21.4,100.0,0,0,3,14
Jalen Mayfield,81725,G,NYG,1,0,21,0.0,0,5,30,100.0,100.0,91.7,1,5,0,32,32,0.0,0,3,15,100.0,100.0,90.0,3,0,17,17
Tyler Allgeier,83639,HB,ATL,17,0,2,90.3,0,0,30,21.7,21.9,100.0,0,0,0,32,146,84.0,0,0,7,30.4,30.4,100.0,0,0,7,23
Cody Ford,39805,G,CIN,7,0,7,41.5,0,2,30,93.8,93.9,96.7,0,2,0,31,33,36.0,0,0,14,100.0,100.0,100.0,0,0,15,15
D'Ernest Johnson,45734,HB,JAX,14,0,15,43.7,1,2,30,21.7,21.7,95.0,0,3,0,31,143,51.0,0,2,17,24.6,23.3,94.1,2,0,17,73
Khalil Herbert,41668,HB,CHI,12,0,6,53.3,0,3,29,16.6,16.9,94.8,0,3,0,31,183,35.0,0,2,6,9.1,8.8,83.3,2,0,6,68
Khari Blasingame,44889,FB,CHI,16,0,6,57.0,0,0,30,40.5,39.7,93.3,0,2,2,31,78,29.3,0,0,3,12.5,11.5,100.0,0,0,3,26
Donald Parham Jr.,91014,TE,LAC,14,0,27,78.3,1,0,29,10.4,10.3,98.3,0,1,0,31,300,75.6,0,0,3,2.3,2.8,100.0,0,0,4,145
David Bakhtiari,7891,T,GB,1,0,12,89.9,0,0,30,100.0,100.0,100.0,0,0,0,30,30,87.3,0,0,13,100.0,100.0,100.0,0,0,13,13
Royce Freeman,45747,HB,LA,10,0,26,67.6,0,2,24,23.1,24.8,95.8,0,2,0,30,121,49.9,0,2,10,20.0,21.7,90.0,2,0,13,60
Alec Ingold,34934,FB,MIA,18,0,17,77.2,0,1,29,16.5,16.3,98.3,1,1,0,30,184,48.9,0,1,2,9.1,9.1,75.0,1,0,2,22
D'Onta Foreman,11844,HB,CHI,9,0,6,29.5,1,5,26,21.3,22.7,88.5,0,6,0,29,128,37.9,1,1,7,17.1,16.3,85.7,2,0,7,43
Andrew Beck,47121,FB,HST,17,0,13,63.6,0,3,28,20.4,19.6,94.6,0,3,0,29,148,,0,0,0,0.0,0.0,,0,0,0,29
Zach Thomas,43641,T,LA,1,0,26,8.6,0,3,26,100.0,100.0,86.5,0,5,2,29,29,0.5,0,0,12,100.0,100.0,83.3,2,2,15,15
Logan Thomas,8755,TE,WAS,16,0,32,73.9,0,1,24,4.5,5.1,93.7,1,2,1,29,568,56.1,0,0,2,0.7,1.0,50.0,1,1,3,287
Riley Reiff,7029,G,NE,1,0,19,63.4,0,1,27,100.0,100.0,98.1,0,1,0,29,29,61.5,0,1,18,100.0,100.0,97.2,1,0,20,20
Dare Ogunbowale,12329,HB,HST,10,0,13,29.0,0,2,25,22.7,23.9,88.0,0,4,2,28,117,30.8,0,2,13,17.1,18.5,84.6,3,1,15,81
Kyle Hinton,83163,G,ATL,3,0,2,79.2,0,0,27,100.0,100.0,100.0,0,0,0,28,28,54.4,0,0,4,100.0,100.0,100.0,0,0,4,4
Michael Carter,57337,HB,ARZ,15,0,1,37.4,3,2,26,14.9,15.0,90.4,1,5,0,28,187,25.7,3,2,17,13.7,13.6,85.3,5,0,18,132
Brevin Jordan,77887,TE,HST,15,0,13,61.9,0,1,25,13.9,14.2,94.0,0,2,1,27,190,52.7,0,0,9,11.5,12.5,88.9,1,1,10,80
Teagan Quitoriano,84036,TE,HST,7,0,13,59.4,0,3,25,49.0,49.1,94.0,0,3,0,27,55,,0,0,0,0.0,0.0,,0,0,0,11
Juwan Johnson,28305,TE,NO,13,2,20,46.8,1,1,26,7.8,7.8,96.2,3,2,0,27,346,24.8,1,0,4,2.2,2.6,87.5,1,0,5,190
Dawson Knox,35883,TE,BUF,14,0,4,79.5,0,0,24,8.1,8.5,100.0,1,0,0,27,318,77.7,0,0,5,4.0,5.1,100.0,0,0,7,137
