,Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999,great_season_probability_prediction
63,64,Jayden Reed,24,GNB,WR,17,10,75,55,857,29,477,8.7,380,6.9,9.1,3,18.3,9,12.0,0,137.5,,ReedJa03,0.04339549
168,167,Kendrick Bourne,29,NWE,WR,12,9,38,28,305,13,211,7.5,94,3.4,9.3,0,,4,10.5,0,105.7,,BourKe00,0.039960276
152,151,Parker Washington,22,JAX,WR,17,7,51,32,390,19,282,8.8,108,3.4,11.2,2,16.0,1,2.0,1,97.7,,WashPa01,0.038131535
81,82,Jalen Tolbert,25,DAL,WR,17,15,79,49,610,29,444,9.1,166,3.4,11.5,0,,3,3.8,2,104.9,,TolbJa00,0.038131535
8,9,Drake London,23,ATL,WR,17,17,158,100,1271,67,944,9.4,327,3.3,10.9,6,16.7,5,3.2,8,86.2,,LondDr00,0.038131535
60,61,DeAndre Hopkins,32,2TM,WR,16,8,80,56,610,35,501,8.9,109,1.9,10.4,3,18.7,2,2.5,2,102.6,,HopkDe00,0.038131535
199,198,Gabriel Davis,25,JAX,WR,10,9,42,20,239,13,200,10.0,39,2.0,13.2,0,,0,0.0,2,61.5,,DaviGa01,0.038131535
129,128,Alec Pierce,24,IND,WR,16,13,69,37,824,32,706,19.1,118,3.2,21.5,0,,3,4.3,4,106.2,,PierAl00,0.038131535
29,30,Tee Higgins,25,CIN,WR,12,9,109,73,911,48,683,9.4,228,3.1,9.8,7,10.4,3,2.8,1,119.5,,HiggTe00,0.038131535
25,26,Jauan Jennings,27,SFO,WR,15,10,113,77,975,47,737,9.6,238,3.1,9.9,5,15.4,5,4.4,3,101.5,,JennJa00,0.038131535
48,49,Marvin Harrison Jr.,22,ARI,WR,17,16,116,62,885,43,737,11.9,148,2.4,13.4,0,,5,4.3,4,87.0,,HarrMa09,0.038131535
18,19,Ladd McConkey,23,LAC,WR,16,14,112,82,1149,52,759,9.3,390,4.8,9.9,10,8.2,5,4.5,1,123.0,AP ORoY-9,McCoLa00,0.03808675
167,166,Christian Watson,25,GNB,WR,15,15,53,29,620,21,471,16.2,149,5.1,17.8,0,,2,3.8,2,93.3,,WatsCh00,0.03808675
193,192,Justin Watson,28,KAN,WR,17,7,32,22,289,13,221,10.0,68,3.1,15.1,0,,2,6.3,0,117.8,,WatsJu01,0.03746567
154,153,Mack Hollins,31,BUF,WR,17,13,50,31,378,25,288,9.3,90,2.9,11.1,0,,3,6.0,0,118.6,,HollMa00,0.03746567
55,56,George Pickens,23,PIT,WR,14,12,103,59,900,37,685,11.6,215,3.6,13.3,4,14.8,6,5.8,2,87.8,,PickGe00,0.03746567
137,136,Noah Brown,28,WAS,WR,11,9,56,35,453,21,370,10.6,83,2.4,11.4,0,,4,7.1,1,86.4,,BrowNo00,0.03746567
132,131,Andrei Iosivas,25,CIN,WR,17,8,61,36,479,26,412,11.4,67,1.9,11.2,0,,5,8.2,1,109.9,,IosiAn00,0.03746567
121,120,Darius Slayton,27,NYG,WR,16,13,71,39,573,30,449,11.5,124,3.2,13.1,4,9.8,4,5.6,2,79.1,,SlayDa01,0.03746567
120,119,Josh Palmer,25,LAC,WR,15,7,65,39,584,28,483,12.4,101,2.6,15.2,0,,4,6.2,1,88.2,,PalmJo00,0.03746567
71,72,Tank Dell,25,HOU,WR,14,10,81,51,667,35,503,9.9,164,3.2,12.5,3,17.0,6,7.4,3,85.8,,DellNa00,0.03746567
92,93,Romeo Doubs,24,GNB,WR,13,12,72,46,601,33,466,10.1,135,2.9,12.3,4,11.5,7,9.7,2,97.0,,DoubRo00,0.03746567
44,45,Darnell Mooney,27,ATL,WR,16,16,106,64,992,48,717,11.2,275,4.3,12.2,6,10.7,6,5.7,2,99.3,,MoonDa00,0.037421636
178,177,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,19,267,10.7,107,4.3,11.9,2,12.5,4,8.5,2,61.8,,AiyuBr00,0.037421636
13,14,Jerry Jeudy,25,CLE,WR,17,16,145,90,1229,57,842,9.4,387,4.3,11.1,0,,13,9.0,3,89.7,PB,JeudJe00,0.037421636
188,187,Adonai Mitchell,22,IND,WR,17,7,55,23,312,16,211,9.2,101,4.4,14.1,0,,4,7.3,0,60.6,,MitcAd00,0.037421636
127,126,Allen Lazard,29,NYJ,WR,12,10,60,37,530,29,375,10.1,155,4.2,11.0,0,,6,10.0,2,109.7,,LazaAl00,0.037421636
65,66,Rome Odunze,22,CHI,WR,17,12,101,54,734,37,481,8.9,253,4.7,13.9,4,13.5,6,5.9,1,82.7,,OdunRo00,0.037421636
263,262,Ja'Lynn Polk,22,NWE,WR,15,7,33,12,87,4,74,6.2,13,1.1,11.5,0,,4,12.1,1,52.5,,PolkJa00,0.036283728
