"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tre Nixon","NE","6.2","80.1","0.5","0.0","0.0","0.0","0.0","10.7"
"Racey McMath","TEN","6.4","77.0","0.5","0.0","0.0","0.0","0.1","10.5"
"Darius Slayton","NYG","5.5","79.1","0.4","0.0","0.0","0.0","0.0","10.4"
"Gunner Olszewski","PIT","5.9","72.7","0.4","0.0","0.0","0.0","0.0","9.9"
"Scotty Miller","TB","5.5","69.6","0.4","0.0","0.0","0.0","0.0","9.5"
"Jalen Virgil","DEN","5.3","60.8","0.5","0.0","0.0","0.0","0.0","9.2"
"Ty Montgomery","NE","7.3","78.0","0.2","0.0","0.0","0.0","0.0","9.0"
"Greg Dortch","ARI","4.1","67.0","0.3","0.0","0.0","0.0","0.0","8.5"
"Mike Strachan","IND","5.0","56.6","0.4","0.0","0.0","0.0","0.0","8.1"
"Miles Boykin","PIT","4.0","57.8","0.3","0.0","0.0","0.0","0.0","7.5"
"Lance McCutcheon","LAR","3.6","41.6","0.3","0.0","0.0","0.0","0.0","6.2"
"Marquez Stevenson","BUF","3.5","39.9","0.4","0.0","0.0","0.0","0.0","6.0"
"Brandon Powell","LAR","3.6","40.8","0.3","0.0","0.0","0.0","0.0","6.0"
"Stanley Morgan Jr.","CIN","3.1","39.3","0.3","0.0","0.0","0.0","0.0","5.6"
"Penny Hart","SEA","3.2","37.5","0.2","0.0","0.0","0.0","0.0","4.8"
"Dante Pettis","CHI","3.0","36.9","0.2","0.0","0.0","0.0","0.0","4.8"
"N'Keal Harry","CHI","2.8","33.3","0.2","0.0","0.0","0.0","0.0","4.6"
"Jared Bernhardt","ATL","3.2","35.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Andy Isabella","ARI","2.2","27.6","0.2","0.0","0.0","0.0","0.0","3.7"
"Jaelon Darden","TB","1.9","22.5","0.2","0.0","0.0","0.0","0.0","3.3"
"Jake Kumerow","BUF","1.7","20.8","0.2","0.0","0.0","0.0","0.0","3.1"
"Dezmon Patmon","IND","1.6","18.7","0.1","0.0","0.0","0.0","0.0","2.6"
"Dax Milne","WAS","1.6","18.0","0.1","0.0","0.0","0.0","0.0","2.5"
"Steven Sims Jr.","PIT","1.7","17.2","0.1","0.0","0.0","0.0","0.0","2.4"
""
""
