,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
1321,Josh Reynolds,2020,25.0,WR,64.2,40.0,7.6,4.52,6.25,194.0,37.0,0.0,6.83,4.13,9.561538461538461
1331,Breshad Perriman,2020,27.0,WR,50,53.0,8.4,0.0,6.166666667,212.0,0.0,0.0,0.0,0.0,8.258333333333333
1347,A.J. Green,2020,32.0,WR,45.2,33.0,5.0,4.48,6.333333333,211.0,34.5,18.0,6.91,4.21,7.95
1363,Henry Ruggs III,2020,21.0,WR,60.5,72.0,10.5,4.27,5.916666667,188.0,42.0,0.0,0.0,0.0,7.008333333333333
1367,Jalen Reagor,2020,21.0,WR,57.4,55.0,7.3,4.47,5.916666667,206.0,42.0,17.0,7.31,4.46,7.927272727272728
1379,Miles Boykin,2020,24.0,WR,57.6,43.0,8.1,4.42,6.333333333,220.0,43.5,12.0,6.77,4.07,5.3538461538461535
1390,Larry Fitzgerald,2020,37.0,WR,75,18.0,5.7,4.48,6.25,225.0,0.0,0.0,0.0,0.0,7.761538461538462
1734,Michael Thomas,2019,26.0,WR,80.5,49.0,9.3,4.57,6.25,212.0,35.0,18.0,6.8,4.13,24.973333333333336
1742,Chris Godwin,2019,23.0,WR,71.1,71.0,11.0,4.42,6.083333333,209.0,36.0,19.0,7.01,4.0,19.72142857142857
1747,Kenny Golladay,2019,26.0,WR,56,75.0,10.3,4.5,6.333333333,218.0,35.5,18.0,7.0,4.15,15.5
1753,Cooper Kupp,2019,26.0,WR,70.1,66.0,8.7,4.62,6.166666667,204.0,31.0,0.0,6.75,4.08,19.321428571428573
1754,Julio Jones,2019,30.0,WR,63.1,54.0,8.9,4.34,6.25,220.0,38.5,17.0,6.66,4.25,18.273333333333333
1755,DeVante Parker,2019,26.0,WR,56.3,51.0,9.4,4.45,6.25,209.0,36.5,17.0,0.0,0.0,17.585714285714285
1759,Amari Cooper,2019,25.0,WR,66.4,53.0,10.0,4.42,6.083333333,211.0,33.0,0.0,6.71,3.98,15.40625
1760,Mike Evans,2019,26.0,WR,56.8,67.0,9.8,4.53,6.416666667,231.0,37.0,12.0,7.08,4.26,17.9
1761,A.J. Brown,2019,22.0,WR,61.9,91.0,12.5,4.49,6.0,226.0,36.5,19.0,0.0,0.0,19.736363636363635
1762,DeAndre Hopkins,2019,27.0,WR,69.3,43.0,7.8,4.57,6.083333333,214.0,36.0,15.0,0.0,4.5,17.9
1764,Keenan Allen,2019,27.0,WR,69.8,45.0,8.0,4.58,6.166666667,206.0,0.0,0.0,0.0,0.0,16.34375
