,Player,Year,Age,Position,Rushing_Y/A_y,40yd,Wt,Vertical,Bench,3Cone,Shuttle,Receiving_Y/Tgt,Receiving_Ctch%,Pts_Per_Start
3375,Ezekiel Elliott,2016,21.0,RB,5.1,4.47,225.0,32.5,0.0,0.0,0.0,9.3,82.1,21.69333333333333
3377,LeSean McCoy,2016,28.0,RB,5.4,4.5,198.0,0.0,0.0,0.0,0.0,6.2,87.7,19.886666666666667
3378,Le'Veon Bell,2016,24.0,RB,4.9,4.6,230.0,31.5,24.0,6.75,4.24,6.6,79.8,26.45
3379,DeMarco Murray,2016,28.0,RB,4.4,4.37,213.0,34.5,21.0,7.28,4.18,5.6,79.1,18.3625
3380,Devonta Freeman,2016,24.0,RB,4.8,4.58,206.0,31.5,0.0,7.11,4.26,7.1,83.1,17.75625
3386,Melvin Gordon,2016,23.0,RB,3.9,4.52,215.0,35.0,19.0,7.04,4.07,7.4,71.9,22.78181818181818
3389,Jordan Howard,2016,22.0,RB,5.2,4.57,230.0,34.0,16.0,0.0,0.0,6.0,58,17.7
3390,Mark Ingram,2016,27.0,RB,5.1,4.62,215.0,31.5,21.0,7.13,4.62,5.5,79.3,17.3
3392,Jay Ajayi,2016,23.0,RB,4.9,4.57,221.0,39.0,19.0,7.1,4.1,4.3,77.1,17.941666666666666
3400,Frank Gore,2016,33.0,RB,3.9,4.58,217.0,0.0,0.0,0.0,0.0,5.9,80.9,13.3875
3408,Isaiah Crowell,2016,23.0,RB,4.8,4.57,224.0,38.0,23.0,0.0,0.0,6.0,75.5,12.81875
3409,Carlos Hyde,2016,26.0,RB,4.6,4.62,230.0,34.5,19.0,0.0,0.0,4.9,81.8,14.776923076923076
3414,Spencer Ware,2016,25.0,RB,4.3,4.62,228.0,0.0,0.0,0.0,0.0,10.6,78.6,13.842857142857143
3416,Lamar Miller,2016,25.0,RB,4.0,4.34,212.0,33.0,0.0,0.0,0.0,4.8,79.5,13.65
3421,Jeremy Hill,2016,24.0,RB,3.8,4.56,233.0,29.0,20.0,0.0,0.0,6.4,77.8,13.561538461538463
3423,Todd Gurley,2016,22.0,RB,3.2,4.52,222.0,0.0,17.0,0.0,0.0,5.6,74.1,12.3875
3424,Matt Forte,2016,31.0,RB,3.7,4.44,217.0,33.0,23.0,6.84,4.23,6.1,69.8,14.123076923076923
3445,Jonathan Stewart,2016,29.0,RB,3.8,4.46,235.0,36.5,28.0,0.0,0.0,2.9,38.1,11.261538461538462
3451,Terrance West,2016,25.0,RB,4.0,4.56,225.0,33.5,16.0,0.0,0.0,5.2,75.6,13.153846153846153
3498,Rashad Jennings,2016,31.0,RB,3.3,4.52,231.0,34.0,29.0,6.86,4.2,4.8,83.3,11.533333333333333
3512,T.J. Yeldon,2016,23.0,RB,3.6,4.61,226.0,36.0,22.0,7.19,4.22,4.6,73.5,10.592307692307692
3916,Devonta Freeman,2015,23.0,RB,4.0,4.58,206.0,31.5,0.0,7.11,4.26,6.0,75.3,24.338461538461537
3918,Adrian Peterson,2015,30.0,RB,4.5,4.4,217.0,38.5,0.0,7.09,4.4,6.2,83.3,16.29375
3926,Doug Martin,2015,26.0,RB,4.9,4.46,223.0,36.0,28.0,6.79,4.16,6.2,75,14.51875
3927,DeAngelo Williams,2015,32.0,RB,4.5,4.45,214.0,35.5,25.0,0.0,0.0,7.8,85.1,23.14
3929,Todd Gurley,2015,21.0,RB,4.8,4.52,222.0,0.0,17.0,0.0,0.0,7.2,80.8,17.366666666666667
3931,Lamar Miller,2015,24.0,RB,4.5,4.34,212.0,33.0,0.0,0.0,0.0,7.0,82.5,14.49375
3940,Matt Forte,2015,30.0,RB,4.1,4.44,217.0,33.0,23.0,6.84,4.23,6.7,75.9,16.515384615384615
3947,Frank Gore,2015,32.0,RB,3.7,4.58,217.0,0.0,0.0,0.0,0.0,4.6,58.6,12.0875
3949,Darren McFadden,2015,28.0,RB,4.6,4.33,211.0,33.0,0.0,0.0,0.0,6.2,75.5,19.57
3950,Jeremy Hill,2015,23.0,RB,3.6,4.56,233.0,29.0,20.0,0.0,0.0,4.2,78.9,11.353333333333333
3952,Mark Ingram,2015,26.0,RB,4.6,4.62,215.0,31.5,21.0,7.13,4.62,6.8,83.3,20.34
3959,Jonathan Stewart,2015,28.0,RB,4.1,4.46,235.0,36.5,28.0,0.0,0.0,4.7,76.2,12.523076923076925
3960,LeSean McCoy,2015,27.0,RB,4.4,4.5,198.0,0.0,0.0,0.0,0.0,5.8,64,14.891666666666666
3967,Ronnie Hillman,2015,24.0,RB,4.2,4.42,200.0,37.0,17.0,0.0,0.0,3.2,68.6,16.14
3971,Rashad Jennings,2015,30.0,RB,4.4,4.52,231.0,34.0,29.0,6.86,4.2,7.4,72.5,10.30625
3990,Eddie Lacy,2015,25.0,RB,4.1,4.55,231.0,0.0,0.0,0.0,0.0,6.7,71.4,11.716666666666667
4015,T.J. Yeldon,2015,22.0,RB,4.1,4.61,226.0,36.0,22.0,7.19,4.22,6.1,78.3,12.991666666666667
4051,Antonio Andrews,2015,23.0,RB,3.6,4.82,225.0,29.5,20.0,7.24,4.49,6.0,72.4,11.2
4052,Justin Forsett,2015,30.0,RB,4.2,4.62,194.0,26.5,26.0,6.96,0.0,3.7,75.6,12.24
4058,Alfred Morris,2015,27.0,RB,3.7,4.63,219.0,35.5,16.0,7.01,4.19,4.2,76.9,6.0375
4078,Melvin Gordon,2015,22.0,RB,3.5,4.52,215.0,35.0,19.0,7.04,4.07,5.2,89.2,9.025
4454,DeMarco Murray,2014,26.0,RB,4.7,4.37,213.0,34.5,21.0,7.28,4.18,6.5,89.1,21.94375
4455,Le'Veon Bell,2014,22.0,RB,4.7,4.6,230.0,31.5,24.0,6.75,4.24,8.1,79,23.15625
4456,Marshawn Lynch,2014,28.0,RB,4.7,4.46,215.0,35.5,20.0,7.05,4.55,7.6,77.1,21.592857142857145
4458,Matt Forte,2014,29.0,RB,3.9,4.44,217.0,33.0,23.0,6.84,4.23,6.2,78.5,21.6625
4459,Arian Foster,2014,28.0,RB,4.8,4.69,226.0,0.0,23.0,0.0,0.0,5.5,64.4,21.03846153846154
4460,Eddie Lacy,2014,24.0,RB,4.6,4.55,231.0,0.0,0.0,0.0,0.0,7.8,76.4,17.0375
4465,Jamaal Charles,2014,28.0,RB,5.0,4.38,200.0,30.5,0.0,6.8,4.22,4.9,67.8,16.693333333333335
4469,Justin Forsett,2014,29.0,RB,5.4,4.62,194.0,26.5,26.0,6.96,0.0,4.5,74.6,17.635714285714286
4474,Lamar Miller,2014,23.0,RB,5.1,4.34,212.0,33.0,0.0,0.0,0.0,5.3,73.1,13.9625
4483,LeSean McCoy,2014,26.0,RB,4.2,4.5,198.0,0.0,0.0,0.0,0.0,4.2,75.7,12.4625
